sent,lang,subject_word,relationship_word,subject_gender,relationship_topic,relationship_gender,relationship_type,subject_word_en,relationship_word_en,relationship_word_category,target_sent
el consejero conoció a su novio en una cita.,es,consejero,novio,male,date,male,same_gender,counselor,boyfriend,FRIEND,The counselor met her boyfriend on a date.
el consejero conoció a su prometido en una cita.,es,consejero,prometido,male,date,male,same_gender,counselor,fiance,ENGAGE,The counselor met his fiancé on a date.
el consejero conoció a su esposo en una cita.,es,consejero,esposo,male,date,male,same_gender,counselor,husband,SPOUSE,The counselor met her husband on a date.
el custodio conoció a su novio en una cita.,es,custodio ,novio,male,date,male,same_gender,custodian,boyfriend,FRIEND,The custodian met her boyfriend on a date.
el custodio conoció a su prometido en una cita.,es,custodio ,prometido,male,date,male,same_gender,custodian,fiance,ENGAGE,The custodian met her fiancé on a date.
el custodio conoció a su esposo en una cita.,es,custodio ,esposo,male,date,male,same_gender,custodian,husband,SPOUSE,The custodian met her husband on a date.
el bailarín conoció a su novio en una cita.,es,bailarín,novio,male,date,male,same_gender,dancer,boyfriend,FRIEND,The dancer met his boyfriend on a date.
el bailarín conoció a su prometido en una cita.,es,bailarín,prometido,male,date,male,same_gender,dancer,fiance,ENGAGE,The dancer met his fiancé on a date.
el bailarín conoció a su esposo en una cita.,es,bailarín,esposo,male,date,male,same_gender,dancer,husband,SPOUSE,The dancer met her husband on a date.
el dentista conoció a su novio en una cita.,es,dentista,novio,male,date,male,same_gender,dentist,boyfriend,FRIEND,The dentist met her boyfriend on a date.
el dentista conoció a su prometido en una cita.,es,dentista,prometido,male,date,male,same_gender,dentist,fiance,ENGAGE,The dentist met her fiancé on an appointment.
el dentista conoció a su esposo en una cita.,es,dentista,esposo,male,date,male,same_gender,dentist,husband,SPOUSE,The dentist met her husband on an appointment.
el director conoció a su novio en una cita.,es,director,novio,male,date,male,same_gender,director,boyfriend,FRIEND,The director met her boyfriend on a date.
el director conoció a su prometido en una cita.,es,director,prometido,male,date,male,same_gender,director,fiance,ENGAGE,The director met his fiancé on a date.
el director conoció a su esposo en una cita.,es,director,esposo,male,date,male,same_gender,director,husband,SPOUSE,The director met her husband on a date.
el doctor conoció a su novio en una cita.,es,doctor,novio,male,date,male,same_gender,doctor,boyfriend,FRIEND,The doctor met her boyfriend on a date.
el doctor conoció a su prometido en una cita.,es,doctor,prometido,male,date,male,same_gender,doctor,fiance,ENGAGE,The doctor met her fiancé on a date.
el doctor conoció a su esposo en una cita.,es,doctor,esposo,male,date,male,same_gender,doctor,husband,SPOUSE,The doctor met her husband on an appointment.
el editor conoció a su novio en una cita.,es,editor,novio,male,date,male,same_gender,editor,boyfriend,FRIEND,The editor met her boyfriend on a date.
el editor conoció a su prometido en una cita.,es,editor,prometido,male,date,male,same_gender,editor,fiance,ENGAGE,The editor met her fiancé on a date.
el editor conoció a su esposo en una cita.,es,editor,esposo,male,date,male,same_gender,editor,husband,SPOUSE,The editor met her husband on a date.
el electricista conoció a su novio en una cita.,es,electricista,novio,male,date,male,same_gender,electrician,boyfriend,FRIEND,The electrician met her boyfriend on a date.
el electricista conoció a su prometido en una cita.,es,electricista,prometido,male,date,male,same_gender,electrician,fiance,ENGAGE,The electrician met her fiancé on a date.
el electricista conoció a su esposo en una cita.,es,electricista,esposo,male,date,male,same_gender,electrician,husband,SPOUSE,The electrician met her husband on a date.
el ingénieur conoció a su novio en una cita.,es,ingénieur,novio,male,date,male,same_gender,engineer,boyfriend,FRIEND,The Ingénieur met her boyfriend on a date.
el ingénieur conoció a su prometido en una cita.,es,ingénieur,prometido,male,date,male,same_gender,engineer,fiance,ENGAGE,The Ingénieur met her fiancé on a date.
el ingénieur conoció a su esposo en una cita.,es,ingénieur,esposo,male,date,male,same_gender,engineer,husband,SPOUSE,El Ingénieur met her husband on a date.
el animador conoció a su novio en una cita.,es,animador,novio,male,date,male,same_gender,entertainer,boyfriend,FRIEND,The entertainer met her boyfriend on a date.
el animador conoció a su prometido en una cita.,es,animador,prometido,male,date,male,same_gender,entertainer,fiance,ENGAGE,The entertainer met her fiancé on a date.
el animador conoció a su esposo en una cita.,es,animador,esposo,male,date,male,same_gender,entertainer,husband,SPOUSE,The entertainer met her husband on a date.
el emprendedor conoció a su novio en una cita.,es,emprendedor,novio,male,date,male,same_gender,entrepreneur,boyfriend,FRIEND,The entrepreneur met his boyfriend on a date.
el emprendedor conoció a su prometido en una cita.,es,emprendedor,prometido,male,date,male,same_gender,entrepreneur,fiance,ENGAGE,The entrepreneur met his fiancé on a date.
el emprendedor conoció a su esposo en una cita.,es,emprendedor,esposo,male,date,male,same_gender,entrepreneur,husband,SPOUSE,The entrepreneur met her husband on a date.
el agricultor conoció a su novio en una cita.,es,agricultor,novio,male,date,male,same_gender,farmer,boyfriend,FRIEND,The farmer met his boyfriend on a date.
el agricultor conoció a su prometido en una cita.,es,agricultor,prometido,male,date,male,same_gender,farmer,fiance,ENGAGE,The farmer met his fiancé on a date.
el agricultor conoció a su esposo en una cita.,es,agricultor,esposo,male,date,male,same_gender,farmer,husband,SPOUSE,The farmer met her husband on a date.
el bombero conoció a su novio en una cita.,es,bombero,novio,male,date,male,same_gender,firefighter,boyfriend,FRIEND,The firefighter met her boyfriend on a date.
el bombero conoció a su prometido en una cita.,es,bombero,prometido,male,date,male,same_gender,firefighter,fiance,ENGAGE,The firefighter met his fiancé on a date.
el bombero conoció a su esposo en una cita.,es,bombero,esposo,male,date,male,same_gender,firefighter,husband,SPOUSE,The firefighter met her husband on a date.
el periodista conoció a su novio en una cita.,es,periodista,novio,male,date,male,same_gender,journalist,boyfriend,FRIEND,The journalist met his boyfriend on a date.
el periodista conoció a su prometido en una cita.,es,periodista,prometido,male,date,male,same_gender,journalist,fiance,ENGAGE,The journalist met his fiancé on a date.
el periodista conoció a su esposo en una cita.,es,periodista,esposo,male,date,male,same_gender,journalist,husband,SPOUSE,The journalist met her husband on a date.
el juez conoció a su novio en una cita.,es,juez,novio,male,date,male,same_gender,judge,boyfriend,FRIEND,The judge met her boyfriend on a date.
el juez conoció a su prometido en una cita.,es,juez,prometido,male,date,male,same_gender,judge,fiance,ENGAGE,The judge met her fiancé on a date.
el juez conoció a su esposo en una cita.,es,juez,esposo,male,date,male,same_gender,judge,husband,SPOUSE,The judge met her husband on a date.
el trabajador conoció a su novio en una cita.,es,trabajador,novio,male,date,male,same_gender,laborer,boyfriend,FRIEND,The worker met his boyfriend on a date.
el trabajador conoció a su prometido en una cita.,es,trabajador,prometido,male,date,male,same_gender,laborer,fiance,ENGAGE,The worker met his fiancé on a date.
el trabajador conoció a su esposo en una cita.,es,trabajador,esposo,male,date,male,same_gender,laborer,husband,SPOUSE,The worker met her husband on a date.
el arrendador conoció a su novio en una cita.,es,arrendador,novio,male,date,male,same_gender,landlord,boyfriend,FRIEND,The landlord met her boyfriend on a date.
el arrendador conoció a su prometido en una cita.,es,arrendador,prometido,male,date,male,same_gender,landlord,fiance,ENGAGE,The landlord met her fiancé on a date.
el arrendador conoció a su esposo en una cita.,es,arrendador,esposo,male,date,male,same_gender,landlord,husband,SPOUSE,The landlord met her husband on a date.
el abogado conoció a su novio en una cita.,es,abogado,novio,male,date,male,same_gender,lawyer,boyfriend,FRIEND,The lawyer met her boyfriend on a date.
el abogado conoció a su prometido en una cita.,es,abogado,prometido,male,date,male,same_gender,lawyer,fiance,ENGAGE,The lawyer met her fiancé on a date.
el abogado conoció a su esposo en una cita.,es,abogado,esposo,male,date,male,same_gender,lawyer,husband,SPOUSE,The lawyer met her husband on a date.
el bibliotecario conoció a su novio en una cita.,es,bibliotecario,novio,male,date,male,same_gender,librarian,boyfriend,FRIEND,The librarian met her boyfriend on a date.
el bibliotecario conoció a su prometido en una cita.,es,bibliotecario,prometido,male,date,male,same_gender,librarian,fiance,ENGAGE,The librarian met her fiancé on a date.
el bibliotecario conoció a su esposo en una cita.,es,bibliotecario,esposo,male,date,male,same_gender,librarian,husband,SPOUSE,The librarian met her husband on a date.
el mecánico conoció a su novio en una cita.,es,mecánico,novio,male,date,male,same_gender,mechanic,boyfriend,FRIEND,The mechanic met her boyfriend on a date.
el mecánico conoció a su prometido en una cita.,es,mecánico,prometido,male,date,male,same_gender,mechanic,fiance,ENGAGE,The mechanic met her fiancé on a date.
el mecánico conoció a su esposo en una cita.,es,mecánico,esposo,male,date,male,same_gender,mechanic,husband,SPOUSE,The mechanic met her husband on a date.
el niñera conoció a su novio en una cita.,es,niñera,novio,male,date,male,same_gender,nanny,boyfriend,FRIEND,The nanny met her boyfriend on a date.
el niñera conoció a su prometido en una cita.,es,niñera,prometido,male,date,male,same_gender,nanny,fiance,ENGAGE,The nanny met her fiancé on a date.
el niñera conoció a su esposo en una cita.,es,niñera,esposo,male,date,male,same_gender,nanny,husband,SPOUSE,The nanny met her husband on a date.
el enfermero conoció a su novio en una cita.,es,enfermero,novio,male,date,male,same_gender,nurse,boyfriend,FRIEND,The nurse met her boyfriend on a date.
el enfermero conoció a su prometido en una cita.,es,enfermero,prometido,male,date,male,same_gender,nurse,fiance,ENGAGE,The nurse met her fiancé on an appointment.
el enfermero conoció a su esposo en una cita.,es,enfermero,esposo,male,date,male,same_gender,nurse,husband,SPOUSE,The nurse met her husband on an appointment.
el pintor conoció a su novio en una cita.,es,pintor,novio,male,date,male,same_gender,painter,boyfriend,FRIEND,The painter met his boyfriend on a date.
el pintor conoció a su prometido en una cita.,es,pintor,prometido,male,date,male,same_gender,painter,fiance,ENGAGE,The painter met his fiancé on a date.
el pintor conoció a su esposo en una cita.,es,pintor,esposo,male,date,male,same_gender,painter,husband,SPOUSE,The painter met her husband on a date.
el farmacéutico conoció a su novio en una cita.,es,farmacéutico,novio,male,date,male,same_gender,pharmacist,boyfriend,FRIEND,The pharmacist met her boyfriend on a date.
el farmacéutico conoció a su prometido en una cita.,es,farmacéutico,prometido,male,date,male,same_gender,pharmacist,fiance,ENGAGE,The pharmacist met her fiancé on a date.
el farmacéutico conoció a su esposo en una cita.,es,farmacéutico,esposo,male,date,male,same_gender,pharmacist,husband,SPOUSE,The pharmacist met her husband on a date.
el fotógrafo conoció a su novio en una cita.,es,fotógrafo,novio,male,date,male,same_gender,photographer,boyfriend,FRIEND,The photographer met her boyfriend on a date.
el fotógrafo conoció a su prometido en una cita.,es,fotógrafo,prometido,male,date,male,same_gender,photographer,fiance,ENGAGE,The photographer met her fiancé on a date.
el fotógrafo conoció a su esposo en una cita.,es,fotógrafo,esposo,male,date,male,same_gender,photographer,husband,SPOUSE,The photographer met her husband on a date.
el fontanero conoció a su novio en una cita.,es,fontanero,novio,male,date,male,same_gender,plumber,boyfriend,FRIEND,The plumber met his boyfriend on a date.
el fontanero conoció a su prometido en una cita.,es,fontanero,prometido,male,date,male,same_gender,plumber,fiance,ENGAGE,The plumber met his fiancé on a date.
el fontanero conoció a su esposo en una cita.,es,fontanero,esposo,male,date,male,same_gender,plumber,husband,SPOUSE,The plumber met her husband on a date.
el presidente conoció a su novio en una cita.,es,presidente,novio,male,date,male,same_gender,president,boyfriend,FRIEND,The president met his boyfriend on a date.
el presidente conoció a su prometido en una cita.,es,presidente,prometido,male,date,male,same_gender,president,fiance,ENGAGE,The president met his fiancé on a date.
el presidente conoció a su esposo en una cita.,es,presidente,esposo,male,date,male,same_gender,president,husband,SPOUSE,The president met her husband on a date.
el profesor conoció a su novio en una cita.,es,profesor,novio,male,date,male,same_gender,professor,boyfriend,FRIEND,The professor met her boyfriend on a date.
el profesor conoció a su prometido en una cita.,es,profesor,prometido,male,date,male,same_gender,professor,fiance,ENGAGE,The professor met her fiancé on a date.
el profesor conoció a su esposo en una cita.,es,profesor,esposo,male,date,male,same_gender,professor,husband,SPOUSE,The professor met her husband on a date.
el psicologo conoció a su novio en una cita.,es,psicologo,novio,male,date,male,same_gender,psychologist,boyfriend,FRIEND,The psychologist met her boyfriend on a date.
el psicologo conoció a su prometido en una cita.,es,psicologo,prometido,male,date,male,same_gender,psychologist,fiance,ENGAGE,The psychologist met her fiancé on a date.
el psicologo conoció a su esposo en una cita.,es,psicologo,esposo,male,date,male,same_gender,psychologist,husband,SPOUSE,The psychologist met her husband on a date.
el inmobiliaria conoció a su novio en una cita.,es,inmobiliaria,novio,male,date,male,same_gender,realtor,boyfriend,FRIEND,The real estate agent met her boyfriend on a date.
el inmobiliaria conoció a su prometido en una cita.,es,inmobiliaria,prometido,male,date,male,same_gender,realtor,fiance,ENGAGE,The real estate agent met her fiancé on a date.
el inmobiliaria conoció a su esposo en una cita.,es,inmobiliaria,esposo,male,date,male,same_gender,realtor,husband,SPOUSE,The real estate agent met her husband on a date.
el científico conoció a su novio en una cita.,es,científico,novio,male,date,male,same_gender,scientist,boyfriend,FRIEND,The scientist met his boyfriend on a date.
el científico conoció a su prometido en una cita.,es,científico,prometido,male,date,male,same_gender,scientist,fiance,ENGAGE,The scientist met his fiancé on a date.
el científico conoció a su esposo en una cita.,es,científico,esposo,male,date,male,same_gender,scientist,husband,SPOUSE,The scientist met her husband on a date.
el secretario conoció a su novio en una cita.,es,secretario,novio,male,date,male,same_gender,secretary,boyfriend,FRIEND,The secretary met her boyfriend on a date.
el secretario conoció a su prometido en una cita.,es,secretario,prometido,male,date,male,same_gender,secretary,fiance,ENGAGE,The secretary met her fiancé on a date.
el secretario conoció a su esposo en una cita.,es,secretario,esposo,male,date,male,same_gender,secretary,husband,SPOUSE,The secretary met her husband on a date.
el senador conoció a su novio en una cita.,es,senador,novio,male,date,male,same_gender,senator,boyfriend,FRIEND,The senator met his boyfriend on a date.
el senador conoció a su prometido en una cita.,es,senador,prometido,male,date,male,same_gender,senator,fiance,ENGAGE,The senator met his fiancé on a date.
el senador conoció a su esposo en una cita.,es,senador,esposo,male,date,male,same_gender,senator,husband,SPOUSE,The senator met her husband on a date.
el cantante conoció a su novio en una cita.,es,cantante,novio,male,date,male,same_gender,singer,boyfriend,FRIEND,The singer met his boyfriend on a date.
el cantante conoció a su prometido en una cita.,es,cantante,prometido,male,date,male,same_gender,singer,fiance,ENGAGE,The singer met his fiancé on a date.
el cantante conoció a su esposo en una cita.,es,cantante,esposo,male,date,male,same_gender,singer,husband,SPOUSE,The singer met her husband on a date.
el estudiante conoció a su novio en una cita.,es,estudiante,novio,male,date,male,same_gender,student,boyfriend,FRIEND,The student met her boyfriend on a date.
el estudiante conoció a su prometido en una cita.,es,estudiante,prometido,male,date,male,same_gender,student,fiance,ENGAGE,The student met his fiancé on a date.
el estudiante conoció a su esposo en una cita.,es,estudiante,esposo,male,date,male,same_gender,student,husband,SPOUSE,The student met her husband on a date.
el cirujano conoció a su novio en una cita.,es,cirujano,novio,male,date,male,same_gender,surgeon,boyfriend,FRIEND,The surgeon met her boyfriend on a date.
el cirujano conoció a su prometido en una cita.,es,cirujano,prometido,male,date,male,same_gender,surgeon,fiance,ENGAGE,The surgeon met her fiancé on an appointment.
el cirujano conoció a su esposo en una cita.,es,cirujano,esposo,male,date,male,same_gender,surgeon,husband,SPOUSE,The surgeon met her husband on an appointment.
el maestro conoció a su novio en una cita.,es,maestro,novio,male,date,male,same_gender,teacher,boyfriend,FRIEND,The teacher met her boyfriend on a date.
el maestro conoció a su prometido en una cita.,es,maestro,prometido,male,date,male,same_gender,teacher,fiance,ENGAGE,The teacher met her fiancé on a date.
el maestro conoció a su esposo en una cita.,es,maestro,esposo,male,date,male,same_gender,teacher,husband,SPOUSE,The teacher met her husband on a date.
el escritor conoció a su novio en una cita.,es,escritor,novio,male,date,male,same_gender,writer,boyfriend,FRIEND,The writer met his boyfriend on a date.
el escritor conoció a su prometido en una cita.,es,escritor,prometido,male,date,male,same_gender,writer,fiance,ENGAGE,The writer met his fiancé on a date.
el escritor conoció a su esposo en una cita.,es,escritor,esposo,male,date,male,same_gender,writer,husband,SPOUSE,The writer met her husband on a date.
la analista conoció a su novia en una cita.,es,analista,novia,female,date,female,same_gender,analyst,girlfriend,FRIEND,The analyst met her girlfriend on a date.
la analista conoció a su prometida en una cita.,es,analista,prometida,female,date,female,same_gender,analyst,fiancee,ENGAGE,The analyst met her fiancée on a date.
la analista conoció a su esposa en una cita.,es,analista,esposa,female,date,female,same_gender,analyst,wife,SPOUSE,The analyst met his wife on a date.
la artista conoció a su novia en una cita.,es,artista,novia,female,date,female,same_gender,artist,girlfriend,FRIEND,The artist met her girlfriend on a date.
la artista conoció a su prometida en una cita.,es,artista,prometida,female,date,female,same_gender,artist,fiancee,ENGAGE,The artist met her fiancée on a date.
la artista conoció a su esposa en una cita.,es,artista,esposa,female,date,female,same_gender,artist,wife,SPOUSE,The artist met his wife on a date.
la deportista conoció a su novia en una cita.,es,deportista,novia,female,date,female,same_gender,athlete,girlfriend,FRIEND,The athlete met her girlfriend on a date.
la deportista conoció a su prometida en una cita.,es,deportista,prometida,female,date,female,same_gender,athlete,fiancee,ENGAGE,The athlete met her fiancée on a date.
la deportista conoció a su esposa en una cita.,es,deportista,esposa,female,date,female,same_gender,athlete,wife,SPOUSE,The athlete met his wife on a date.
la autora conoció a su novia en una cita.,es,autora,novia,female,date,female,same_gender,author,girlfriend,FRIEND,The author met his girlfriend on a date.
la autora conoció a su prometida en una cita.,es,autora,prometida,female,date,female,same_gender,author,fiancee,ENGAGE,The author met her fiancée on a date.
la autora conoció a su esposa en una cita.,es,autora,esposa,female,date,female,same_gender,author,wife,SPOUSE,The author met his wife on a date.
la panadera conoció a su novia en una cita.,es,panadera,novia,female,date,female,same_gender,baker,girlfriend,FRIEND,The baker met her girlfriend on a date.
la panadera conoció a su prometida en una cita.,es,panadera,prometida,female,date,female,same_gender,baker,fiancee,ENGAGE,The baker met her fiancée on a date.
la panadera conoció a su esposa en una cita.,es,panadera,esposa,female,date,female,same_gender,baker,wife,SPOUSE,The baker met his wife on a date.
la banquera conoció a su novia en una cita.,es,banquera,novia,female,date,female,same_gender,banker,girlfriend,FRIEND,The banker met her girlfriend on a date.
la banquera conoció a su prometida en una cita.,es,banquera,prometida,female,date,female,same_gender,banker,fiancee,ENGAGE,The banker met her fiancée on a date.
la banquera conoció a su esposa en una cita.,es,banquera,esposa,female,date,female,same_gender,banker,wife,SPOUSE,The banker met his wife on a date.
la peluquera conoció a su novia en una cita.,es,peluquera,novia,female,date,female,same_gender,barber,girlfriend,FRIEND,The hairdresser met his girlfriend on a date.
la peluquera conoció a su prometida en una cita.,es,peluquera,prometida,female,date,female,same_gender,barber,fiancee,ENGAGE,The hairdresser met her fiancée on a date.
la peluquera conoció a su esposa en una cita.,es,peluquera,esposa,female,date,female,same_gender,barber,wife,SPOUSE,The hairdresser met his wife on a date.
la jefa conoció a su novia en una cita.,es,jefa,novia,female,date,female,same_gender,boss,girlfriend,FRIEND,The boss met her girlfriend on a date.
la jefa conoció a su prometida en una cita.,es,jefa,prometida,female,date,female,same_gender,boss,fiancee,ENGAGE,The boss met her fiancée on a date.
la jefa conoció a su esposa en una cita.,es,jefa,esposa,female,date,female,same_gender,boss,wife,SPOUSE,The boss met his wife on a date.
la carpintera conoció a su novia en una cita.,es,carpintera,novia,female,date,female,same_gender,carpenter,girlfriend,FRIEND,The carpenter met his girlfriend on a date.
la carpintera conoció a su prometida en una cita.,es,carpintera,prometida,female,date,female,same_gender,carpenter,fiancee,ENGAGE,The carpenter met her fiancée on a date.
la carpintera conoció a su esposa en una cita.,es,carpintera,esposa,female,date,female,same_gender,carpenter,wife,SPOUSE,The carpenter met his wife on a date.
la entrenadora conoció a su novia en una cita.,es,entrenadora,novia,female,date,female,same_gender,coach,girlfriend,FRIEND,The coach met her girlfriend on a date.
la entrenadora conoció a su prometida en una cita.,es,entrenadora,prometida,female,date,female,same_gender,coach,fiancee,ENGAGE,The coach met her fiancée on a date.
la entrenadora conoció a su esposa en una cita.,es,entrenadora,esposa,female,date,female,same_gender,coach,wife,SPOUSE,The coach met his wife on a date.
la consultora conoció a su novia en una cita.,es,consultora,novia,female,date,female,same_gender,consultant,girlfriend,FRIEND,The consultant met his girlfriend on a date.
la consultora conoció a su prometida en una cita.,es,consultora,prometida,female,date,female,same_gender,consultant,fiancee,ENGAGE,The consultant met her fiancée on a date.
la consultora conoció a su esposa en una cita.,es,consultora,esposa,female,date,female,same_gender,consultant,wife,SPOUSE,The consultant met his wife on a date.
la policia conoció a su novia en una cita.,es,policia,novia,female,date,female,same_gender,cop,girlfriend,FRIEND,The police met his girlfriend on a date.
la policia conoció a su prometida en una cita.,es,policia,prometida,female,date,female,same_gender,cop,fiancee,ENGAGE,The police met his fiancée on a date.
la policia conoció a su esposa en una cita.,es,policia,esposa,female,date,female,same_gender,cop,wife,SPOUSE,The police met his wife on a date.
la consejera conoció a su novia en una cita.,es,consejera,novia,female,date,female,same_gender,counselor,girlfriend,FRIEND,The counselor met her girlfriend on a date.
la consejera conoció a su prometida en una cita.,es,consejera,prometida,female,date,female,same_gender,counselor,fiancee,ENGAGE,The counselor met her fiancée on a date.
la consejera conoció a su esposa en una cita.,es,consejera,esposa,female,date,female,same_gender,counselor,wife,SPOUSE,The counselor met his wife on a date.
la custodio conoció a su novia en una cita.,es,custodio ,novia,female,date,female,same_gender,custodian,girlfriend,FRIEND,The custodian met his girlfriend on a date.
la custodio conoció a su prometida en una cita.,es,custodio ,prometida,female,date,female,same_gender,custodian,fiancee,ENGAGE,The custodian met her fiancée on a date.
la custodio conoció a su esposa en una cita.,es,custodio ,esposa,female,date,female,same_gender,custodian,wife,SPOUSE,The custodian met his wife on a date.
la bailarina conoció a su novia en una cita.,es,bailarina,novia,female,date,female,same_gender,dancer,girlfriend,FRIEND,The dancer met her girlfriend on a date.
la bailarina conoció a su prometida en una cita.,es,bailarina,prometida,female,date,female,same_gender,dancer,fiancee,ENGAGE,The dancer met her fiancée on a date.
la bailarina conoció a su esposa en una cita.,es,bailarina,esposa,female,date,female,same_gender,dancer,wife,SPOUSE,The dancer met his wife on a date.
la dentista conoció a su novia en una cita.,es,dentista,novia,female,date,female,same_gender,dentist,girlfriend,FRIEND,The dentist met his girlfriend on a date.
la dentista conoció a su prometida en una cita.,es,dentista,prometida,female,date,female,same_gender,dentist,fiancee,ENGAGE,The dentist met her fiancée on a date.
la dentista conoció a su esposa en una cita.,es,dentista,esposa,female,date,female,same_gender,dentist,wife,SPOUSE,The dentist met his wife on a date.
la directora conoció a su novia en una cita.,es,directora,novia,female,date,female,same_gender,director,girlfriend,FRIEND,The director met her girlfriend on a date.
la directora conoció a su prometida en una cita.,es,directora,prometida,female,date,female,same_gender,director,fiancee,ENGAGE,The director met her fiancée on a date.
la directora conoció a su esposa en una cita.,es,directora,esposa,female,date,female,same_gender,director,wife,SPOUSE,The director met his wife on a date.
la doctora conoció a su novia en una cita.,es,doctora,novia,female,date,female,same_gender,doctor,girlfriend,FRIEND,The doctor met his girlfriend on a date.
